frame.number,eth.src,eth.dst,frame.len,rel_time,primary
288,247033387452035.00,105927195770177.00,1514,0.000001,0
289,247033387452035.00,105927195770177.00,291,0,0
290,105927195770177.00,211811468.00,54,0.000172,0
291,247033387452035.00,105927195770177.00,66,0.000174,0
292,105927195770177.00,211811468.00,54,0.000094,0
293,105927195770177.00,211811468.00,571,0.002489,0
294,247033387452035.00,105927195770177.00,66,0.004285,0
295,105927195770177.00,211811468.00,54,0.000145,0
296,247033387452035.00,105927195770177.00,66,0.001862,0
297,105927195770177.00,211811468.00,54,0.000149,0
298,247033387452035.00,105927195770177.00,66,0.000233,0
299,105927195770177.00,211811468.00,54,0.000091,0
300,105927195770177.00,211811468.00,571,0.00032,0
301,247033387452035.00,105927195770177.00,66,0.001645,0
302,105927195770177.00,211811468.00,54,0.000105,0
303,105927195770177.00,211811468.00,571,0.00028,0
304,105927195770177.00,211811468.00,571,0.001845,0
305,247033387452035.00,105927195770177.00,54,0.001958,0
306,105927195770177.00,211811468.00,571,0.000361,0
307,247033387452035.00,105927195770177.00,54,0.001527,0
308,247033387452035.00,105927195770177.00,54,0.002603,0
309,247033387452035.00,105927195770177.00,1514,0.000306,0
310,247033387452035.00,105927195770177.00,1485,0.000308,0
311,105927195770177.00,211811468.00,54,0.000045,0
312,105927195770177.00,211811468.00,134,0.002004,0
313,247033387452035.00,105927195770177.00,1514,0.001892,0
314,247033387452035.00,105927195770177.00,1514,0.000478,0
315,247033387452035.00,105927195770177.00,1514,0.000002,0
316,247033387452035.00,105927195770177.00,1514,0.000001,0
317,247033387452035.00,105927195770177.00,1514,0,0
318,105927195770177.00,211811468.00,54,0.00006,0
319,247033387452035.00,105927195770177.00,1514,0.000229,0
320,247033387452035.00,105927195770177.00,1514,0.000001,0
321,247033387452035.00,105927195770177.00,1514,0.000001,0
322,105927195770177.00,211811468.00,54,0.000039,0
323,247033387452035.00,105927195770177.00,1514,0.000938,0
324,247033387452035.00,105927195770177.00,1514,0.000002,0
325,247033387452035.00,105927195770177.00,1514,0,0
326,105927195770177.00,211811468.00,54,0.000074,0
327,247033387452035.00,105927195770177.00,1514,0.001559,0
328,247033387452035.00,105927195770177.00,1514,0.000001,0
329,247033387452035.00,105927195770177.00,1514,0.000001,0
330,247033387452035.00,105927195770177.00,1514,0.000001,0
331,247033387452035.00,105927195770177.00,1514,0.000001,0
332,247033387452035.00,105927195770177.00,1514,0,0
333,247033387452035.00,105927195770177.00,1514,0,0
334,247033387452035.00,105927195770177.00,1514,0.000001,0
335,247033387452035.00,105927195770177.00,1514,0.000001,0
336,247033387452035.00,105927195770177.00,1514,0.000001,0
337,247033387452035.00,105927195770177.00,1514,0,0
338,247033387452035.00,105927195770177.00,1514,0.000001,0
339,247033387452035.00,105927195770177.00,1514,0,0
340,247033387452035.00,105927195770177.00,1514,0.000001,0
341,247033387452035.00,105927195770177.00,1514,0,0
342,247033387452035.00,105927195770177.00,1514,0.000001,0
343,105927195770177.00,211811468.00,54,0.000141,0
344,247033387452035.00,105927195770177.00,1514,0.000323,0
345,247033387452035.00,105927195770177.00,1514,0.000002,0
346,247033387452035.00,105927195770177.00,1514,0,0
347,247033387452035.00,105927195770177.00,1514,0,0
348,247033387452035.00,105927195770177.00,1514,0.000001,0
349,105927195770177.00,211811468.00,54,0.000061,0
350,247033387452035.00,105927195770177.00,1514,0.000333,0
351,247033387452035.00,105927195770177.00,1514,0.000001,0
352,247033387452035.00,105927195770177.00,1514,0,0
353,247033387452035.00,105927195770177.00,1514,0.000001,0
354,247033387452035.00,105927195770177.00,1514,0.000001,0
355,247033387452035.00,105927195770177.00,1514,0.000001,0
356,247033387452035.00,105927195770177.00,1514,0,0
357,247033387452035.00,105927195770177.00,1514,0,0
358,247033387452035.00,105927195770177.00,1514,0.000002,0
359,247033387452035.00,105927195770177.00,1514,0,0
360,247033387452035.00,105927195770177.00,1514,0,0
361,247033387452035.00,105927195770177.00,1514,0.000001,0
362,105927195770177.00,211811468.00,54,0.000117,0
363,247033387452035.00,105927195770177.00,54,0.001896,0
364,247033387452035.00,105927195770177.00,1514,0.001621,0
365,247033387452035.00,105927195770177.00,1514,0.000285,0
366,247033387452035.00,105927195770177.00,1514,0,0
367,105927195770177.00,211811468.00,54,0.00005,0
368,247033387452035.00,105927195770177.00,1514,0.000233,0
369,247033387452035.00,105927195770177.00,717,0.000001,0
370,105927195770177.00,211811468.00,54,0.00005,0
371,105927195770177.00,211811468.00,147,0.001872,0
372,247033387452035.00,105927195770177.00,54,0.000668,0
373,247033387452035.00,105927195770177.00,1514,0.001173,0
374,247033387452035.00,105927195770177.00,1514,0.000367,0
375,247033387452035.00,105927195770177.00,1514,0.000001,0
376,105927195770177.00,211811468.00,54,0.000052,0
377,247033387452035.00,105927195770177.00,1514,0.000228,0
378,247033387452035.00,105927195770177.00,717,0.000002,0
379,247033387452035.00,105927195770177.00,54,0,0
380,105927195770177.00,211811468.00,54,0.000045,0
381,247033387452035.00,105927195770177.00,310,0.000469,0
382,247033387452035.00,105927195770177.00,1514,0.000808,0
383,247033387452035.00,105927195770177.00,1514,0.000347,0
384,247033387452035.00,105927195770177.00,1514,0.000001,0
385,105927195770177.00,211811468.00,54,0.00005,0
386,247033387452035.00,105927195770177.00,1514,0.000223,0
387,247033387452035.00,105927195770177.00,717,0.000001,0
388,105927195770177.00,211811468.00,54,0.000044,0
389,105927195770177.00,211811468.00,147,0.000666,0
390,247033387452035.00,105927195770177.00,54,0.002511,0
391,247033387452035.00,105927195770177.00,1514,0.001332,0
392,247033387452035.00,105927195770177.00,1514,0.000441,0
393,247033387452035.00,105927195770177.00,1514,0.000002,0
394,105927195770177.00,211811468.00,54,0.000074,0
395,247033387452035.00,105927195770177.00,1514,0.000158,0
396,247033387452035.00,105927195770177.00,717,0.000001,0
397,105927195770177.00,211811468.00,54,0.000175,0
398,105927195770177.00,211811468.00,147,0.001477,0
399,105927195770177.00,211811468.00,140,0.003128,0
400,105927195770177.00,211811468.00,71,0.000155,0
401,105927195770177.00,211811468.00,54,0.000632,0
402,105927195770177.00,211811468.00,80,0.001036,0
403,247033387452659.00,105927195770177.00,167,0.000122,0
404,247033387452035.00,105927195770177.00,1514,0.000709,0
405,105927195770177.00,211811468.00,147,0.000274,0
406,247033387452035.00,105927195770177.00,1514,0.000123,0
407,247033387452035.00,105927195770177.00,1514,0.000001,0
408,105927195770177.00,211811468.00,54,0.000045,0
409,247033387452035.00,105927195770177.00,1514,0.000364,0
410,247033387452035.00,105927195770177.00,1514,0.000001,0
411,247033387452035.00,105927195770177.00,1350,0.000001,0
412,105927195770177.00,211811468.00,54,0.000043,0
413,247033387452035.00,105927195770177.00,1514,0.000321,0
414,247033387452035.00,105927195770177.00,1514,0,0
415,105927195770177.00,211811468.00,54,0.00004,0
416,247033387452035.00,105927195770177.00,1514,0.000495,0
417,247033387452659.00,105927195770177.00,177,0.000003,0
418,105927195770177.00,211811468.00,54,0.001178,0
419,247033387452035.00,105927195770177.00,1514,0.000614,0
420,105927195770177.00,211811468.00,54,0.000074,0
421,247033387452035.00,105927195770177.00,1514,0.001123,0
422,247033387452035.00,105927195770177.00,1514,0.000002,0
423,247033387452035.00,105927195770177.00,1514,0.000001,0
424,247033387452035.00,105927195770177.00,1514,0.000004,0
425,247033387452035.00,105927195770177.00,1514,0.000001,0
426,247033387452035.00,105927195770177.00,1514,0.000002,0
427,247033387452035.00,105927195770177.00,1514,0.000001,0
428,247033387452035.00,105927195770177.00,1514,0.000001,0
429,247033387452035.00,105927195770177.00,1514,0.000002,0
430,247033387452035.00,105927195770177.00,1514,0,0
431,105927195770177.00,211811468.00,54,0.00019,0
432,105927195770177.00,211811468.00,266,0.000803,0
433,247033387452035.00,105927195770177.00,1514,0.001007,0
434,247033387452035.00,105927195770177.00,1514,0.000002,0
435,247033387452035.00,105927195770177.00,218,0.000001,0
436,247033387452035.00,105927195770177.00,1514,0.000001,0
437,247033387452035.00,105927195770177.00,1514,0.000002,0
438,247033387452035.00,105927195770177.00,1514,0.000002,0
439,247033387452035.00,105927195770177.00,1514,0.000001,0
440,247033387452035.00,105927195770177.00,1514,0.000001,0
441,247033387452035.00,105927195770177.00,1514,0.000001,0
442,247033387452035.00,105927195770177.00,1514,0.000002,0
443,247033387452035.00,105927195770177.00,1514,0,0
444,247033387452035.00,105927195770177.00,1514,0.000002,0
445,247033387452035.00,105927195770177.00,1514,0.000001,0
446,247033387452035.00,105927195770177.00,1514,0.000002,0
447,247033387452035.00,105927195770177.00,1514,0.000001,0
448,247033387452035.00,105927195770177.00,1514,0.000001,0
449,247033387452035.00,105927195770177.00,1514,0.000001,0
450,247033387452035.00,105927195770177.00,1514,0.000001,0
451,247033387452035.00,105927195770177.00,1514,0.000002,0
452,247033387452035.00,105927195770177.00,1514,0.000001,0
453,247033387452035.00,105927195770177.00,1514,0.000002,0
454,247033387452035.00,105927195770177.00,1514,0.000001,0
455,247033387452035.00,105927195770177.00,1514,0.000001,0
456,105927195770177.00,211811468.00,54,0.000264,0
457,247033387452035.00,105927195770177.00,1514,0.000177,0
458,247033387452035.00,105927195770177.00,1514,0.000001,0
459,247033387452035.00,105927195770177.00,312,0.000001,0
460,105927195770177.00,211811468.00,54,0.000057,0
461,105927195770177.00,211811468.00,147,0.000733,0
462,105927195770177.00,211811468.00,66,0.00111,0
463,105927195770177.00,211811468.00,66,0.001708,0
464,247033387452035.00,105927195770177.00,124,0.001243,0
465,247033387452035.00,105927195770177.00,312,0.000198,0
466,105927195770177.00,211811468.00,54,0.000073,0
467,105927195770177.00,211811468.00,313,0.000225,0
468,105927195770177.00,211811468.00,139,0.00138,0
469,105927195770177.00,211811468.00,140,0.001437,0
470,105927195770177.00,211811468.00,142,0.001398,0
471,247033387452035.00,105927195770177.00,312,0.001869,0
472,105927195770177.00,211811468.00,54,0.000151,0
473,105927195770177.00,211811468.00,85,0.001109,0
474,247033387452035.00,105927195770177.00,1100,0.001984,0
475,247033387452035.00,105927195770177.00,1514,0.000344,0
476,247033387452035.00,105927195770177.00,686,0.000001,0
477,247033387452035.00,105927195770177.00,1514,0.000001,0
478,247033387452035.00,105927195770177.00,1514,0.000002,0
479,105927195770177.00,211811468.00,54,0.00008,0
480,247033387452035.00,105927195770177.00,1514,0.000577,0
481,247033387452035.00,105927195770177.00,1514,0,0
482,247033387452035.00,105927195770177.00,1514,0.000001,0
483,247033387452035.00,105927195770177.00,1514,0.000002,0
484,247033387452035.00,105927195770177.00,1514,0,0
485,247033387452035.00,105927195770177.00,1514,0.000001,0
486,105927195770177.00,211811468.00,54,0.000089,0
487,247033387452035.00,105927195770177.00,1514,0.00027,0
488,247033387452035.00,105927195770177.00,1514,0.000002,0
489,247033387452035.00,105927195770177.00,1514,0,0
490,247033387452035.00,105927195770177.00,1514,0.000001,0
491,105927195770177.00,211811468.00,54,0.000057,0
492,247033387452659.00,105927195770177.00,167,0.000588,0
493,105927195770177.00,211811468.00,195,0.000042,0
494,247033387452035.00,105927195770177.00,66,0.000185,0
495,105927195770177.00,211811468.00,54,0.00009,0
496,247033387452035.00,105927195770177.00,66,0.001536,0
497,105927195770177.00,211811468.00,54,0.000115,0
498,105927195770177.00,211811468.00,571,0.000265,0
499,247033387452035.00,105927195770177.00,1514,0.001637,0
500,105927195770177.00,211811468.00,54,0.000066,0
501,105927195770177.00,211811468.00,571,0.000548,0
502,247033387452035.00,105927195770177.00,1514,0.000262,0
503,247033387452035.00,105927195770177.00,1514,0.000001,0
504,247033387452035.00,105927195770177.00,1514,0.000001,0
505,247033387452035.00,105927195770177.00,1514,0.000001,0
506,247033387452035.00,105927195770177.00,1514,0.000001,0
507,247033387452035.00,105927195770177.00,1514,0,0
508,247033387452035.00,105927195770177.00,1514,0.000001,0
509,247033387452035.00,105927195770177.00,1514,0.000001,0
510,247033387452035.00,105927195770177.00,1514,0,0
511,105927195770177.00,211811468.00,54,0.000098,0
512,247033387452035.00,105927195770177.00,1514,0.001129,0
513,247033387452035.00,105927195770177.00,1514,0.000001,0
514,247033387452035.00,105927195770177.00,1514,0.000001,0
515,247033387452035.00,105927195770177.00,1514,0.000001,0
516,247033387452035.00,105927195770177.00,1514,0.000001,0
517,247033387452035.00,105927195770177.00,1514,0,0
518,247033387452035.00,105927195770177.00,1514,0.000001,0
519,247033387452035.00,105927195770177.00,312,0.000001,0
520,247033387452035.00,105927195770177.00,1514,0,0
521,247033387452035.00,105927195770177.00,1514,0.000001,0
